city,prop_type,prop_size(lower),outcode,prop_price
maidenhead,2,2849.0,SL,780000.0
maidenhead,2,1796.0,UB,450000.0
maidenhead,2,1740.0,UB,420000.0
maidenhead,2,3565.0,UB,860000.0
maidenhead,2,1825.0,UB,440000.0
maidenhead,2,10596.0,RG,625000.0
maidenhead,2,10560.0,RG,1200000.0
maidenhead,2,12805.0,RG,1000000.0
maidenhead,2,23172.0,UB,6372300.0
maidenhead,2,16618.0,UB,4569950.0
maidenhead,2,6553.0,UB,1965900.0
maidenhead,2,26692.0,RG,4400000.0
maidenhead,2,1497.0,KT,190000.0
maidenhead,2,33332.0,UB,5600000.0
maidenhead,2,33552.0,HA,8250000.0
maidenhead,2,2227.0,NW,600000.0
maidenhead,2,2800.0,HA,580000.0
maidenhead,2,15077.0,NW,3015400.0
maidenhead,2,1980.0,HA,650000.0
maidenhead,2,2067.0,RG,225000.0
maidenhead,2,5573.0,SM,675000.0
maidenhead,2,3439.0,SM,625000.0
maidenhead,2,26174.0,SM,3500000.0
maidenhead,2,3870.0,EN,1100000.0
maidenhead,2,15403.0,CR,1400000.0
maidenhead,2,1503.0,SM,335000.0
maidenhead,2,9128.0,CR,850000.0
maidenhead,2,9055.0,N,1500000.0
maidenhead,2,2426.0,AL,595000.0
maidenhead,2,12703.0,AL,1850000.0
maidenhead,2,4504.0,CR,995000.0
maidenhead,2,14448.0,LU,2400000.0
maidenhead,2,37000.0,N,6000000.0
maidenhead,2,2223.0,N,350000.0
maidenhead,2,3320.0,AL,499950.0
maidenhead,2,1993.0,AL,397500.0
maidenhead,2,10836.0,CR,1250000.0
maidenhead,2,2680.0,EN,465000.0
maidenhead,2,5080.0,EN,1000000.0
maidenhead,2,15019.0,AL,3500000.0
maidenhead,2,2407.0,EN,355000.0
bristol,2,2693.0,BA,250000.0
bristol,2,2496.0,BS,450000.0
bristol,2,11120.0,BA,1300000.0
bristol,2,2780.0,CF,275000.0
bristol,2,2828.0,CF,150000.0
bristol,2,10715.0,SN,750000.0
bristol,2,20611.0,CF,2250000.0
bristol,2,19580.0,SN,1169687.0
swindon,2,10792.0,SN,1200000.0
swindon,2,19580.0,SN,1169687.0
swindon,2,10715.0,SN,750000.0
swindon,2,11579.0,SP,575000.0
swindon,2,11120.0,BA,1300000.0
swindon,2,2693.0,BA,250000.0
reading,3,8712.0,RG,650000.0
reading,3,1592.0,HP,450000.0
reading,3,2637.0,HP,595000.0
reading,3,2770.0,HP,695000.0
reading,3,442758.0,HP,350000.0
reading,3,37462.0,TW,4500000.0
reading,3,305050.0,HP,925000.0
reading,3,1500.0,HA,110000.0
slough,3,37462.0,TW,4500000.0
slough,3,2637.0,HP,595000.0
slough,3,1592.0,HP,450000.0
slough,3,2770.0,HP,695000.0
slough,3,1500.0,HA,110000.0
slough,3,442758.0,HP,350000.0
slough,3,8712.0,RG,650000.0
slough,3,305050.0,HP,925000.0
slough,3,2325.0,CR,395000.0
slough,3,7342.0,SW,1575000.0
slough,3,1167.0,SM,425000.0
slough,3,4758.0,SM,1000000.0
slough,3,26583.0,CR,6500000.0
slough,3,8280.0,CR,2000000.0
slough,3,1665.0,CR,450000.0
slough,3,38785.0,SE,9500000.0
slough,3,6537.0,EN,375000.0
slough,3,19610.0,RH,150000.0
maidenhead,3,2637.0,HP,595000.0
maidenhead,3,1592.0,HP,450000.0
maidenhead,3,2770.0,HP,695000.0
maidenhead,3,8712.0,RG,650000.0
maidenhead,3,442758.0,HP,350000.0
maidenhead,3,37462.0,TW,4500000.0
maidenhead,3,305050.0,HP,925000.0
maidenhead,3,1500.0,HA,110000.0
maidenhead,3,2325.0,CR,395000.0
maidenhead,3,7342.0,SW,1575000.0
maidenhead,3,1167.0,SM,425000.0
maidenhead,3,4758.0,SM,1000000.0
maidenhead,3,26583.0,CR,6500000.0
maidenhead,3,8280.0,CR,2000000.0
maidenhead,3,1665.0,CR,450000.0
maidenhead,3,38785.0,SE,9500000.0
bristol,3,1775.0,BS,250000.0
bristol,3,3415.0,BA,500000.0
bristol,3,36606.0,BA,600000.0
bristol,3,2685.0,BA,250000.0
bristol,3,1608.0,SN,400000.0
bristol,3,80620.0,GL,1000000.0
swindon,3,1608.0,SN,400000.0
swindon,3,2685.0,BA,250000.0
swindon,3,3415.0,BA,500000.0
swindon,3,21916.0,GL,4350000.0
reading,4,1721.0,RG,500000.0
reading,4,1964.0,HP,1500000.0
reading,4,1237.0,HP,295000.0
reading,4,1988.0,HP,595000.0
reading,4,1452.0,OX,200000.0
reading,4,3318.0,SL,1250000.0
reading,4,2849.0,GU,425000.0
reading,4,1813.0,GU,300000.0
reading,4,1083.0,HP,750000.0
reading,4,1130.0,SL,675000.0
reading,4,2475.0,HP,825000.0
reading,4,1661.0,GU,700000.0
reading,4,1615.0,KT,750000.0
reading,4,1431.0,UB,269950.0
reading,4,1763.0,GU,395000.0
reading,4,7735.0,TW,3570000.0
reading,4,2160.0,TW,1400000.0
reading,4,1760.0,GU,495000.0
reading,4,3071.0,GU,875000.0
reading,4,2416.0,KT,675000.0
reading,4,1400.0,GU,495000.0
slough,4,3318.0,SL,1250000.0
slough,4,1130.0,SL,675000.0
slough,4,1431.0,UB,269950.0
slough,4,1083.0,HP,750000.0
slough,4,7735.0,TW,3570000.0
slough,4,1615.0,KT,750000.0
slough,4,1237.0,HP,295000.0
slough,4,1964.0,HP,1500000.0
slough,4,1988.0,HP,595000.0
slough,4,2160.0,TW,1400000.0
slough,4,1721.0,RG,500000.0
slough,4,1350.0,W,950000.0
slough,4,1133.0,W,450000.0
slough,4,2352.0,SW,850000.0
slough,4,2475.0,HP,825000.0
slough,4,1993.0,SW,947000.0
slough,4,1316.0,SW,880000.0
slough,4,1745.0,NW,2000000.0
slough,4,1105.0,SW,250000.0
slough,4,1661.0,GU,700000.0
slough,4,2416.0,KT,675000.0
slough,4,1650.0,SM,425000.0
slough,4,1813.0,GU,300000.0
slough,4,2849.0,GU,425000.0
slough,4,2958.0,KT,425000.0
slough,4,2958.0,KT,775000.0
slough,4,2939.0,CR,950000.0
slough,4,16932.0,SW,2700000.0
slough,4,10764.0,SW,2950000.0
slough,4,1511.0,CR,475000.0
slough,4,1403.0,N,200000.0
slough,4,1763.0,GU,395000.0
slough,4,1347.0,CR,800000.0
slough,4,5288.0,CR,1425000.0
slough,4,2152.0,SE,770000.0
slough,4,1846.0,CR,750000.0
slough,4,2887.0,AL,480000.0
slough,4,1333.0,EN,475000.0
slough,4,2024.0,EN,725000.0
slough,4,1491.0,SE,390000.0
slough,4,1400.0,GU,495000.0
slough,4,1441.0,EN,200000.0
slough,4,1080.0,GU,400000.0
slough,4,1205.0,IG,295000.0
slough,4,2235.0,SE,525000.0
slough,4,1572.0,LU,525000.0
slough,4,3071.0,GU,875000.0
slough,4,1760.0,GU,495000.0
slough,4,1452.0,OX,200000.0
slough,4,1280.0,SG,725000.0
maidenhead,4,3318.0,SL,1250000.0
maidenhead,4,1130.0,SL,675000.0
maidenhead,4,1083.0,HP,750000.0
maidenhead,4,1237.0,HP,295000.0
maidenhead,4,1964.0,HP,1500000.0
maidenhead,4,1988.0,HP,595000.0
maidenhead,4,1721.0,RG,500000.0
maidenhead,4,1431.0,UB,269950.0
maidenhead,4,2475.0,HP,825000.0
maidenhead,4,1615.0,KT,750000.0
maidenhead,4,7735.0,TW,3570000.0
maidenhead,4,2160.0,TW,1400000.0
maidenhead,4,1813.0,GU,300000.0
maidenhead,4,2849.0,GU,425000.0
maidenhead,4,1350.0,W,950000.0
maidenhead,4,1661.0,GU,700000.0
maidenhead,4,1133.0,W,450000.0
maidenhead,4,2352.0,SW,850000.0
maidenhead,4,1993.0,SW,947000.0
maidenhead,4,2416.0,KT,675000.0
maidenhead,4,1745.0,NW,2000000.0
maidenhead,4,1316.0,SW,880000.0
maidenhead,4,1105.0,SW,250000.0
maidenhead,4,1763.0,GU,395000.0
maidenhead,4,1650.0,SM,425000.0
maidenhead,4,1452.0,OX,200000.0
maidenhead,4,2958.0,KT,425000.0
maidenhead,4,2958.0,KT,775000.0
maidenhead,4,2939.0,CR,950000.0
maidenhead,4,16932.0,SW,2700000.0
maidenhead,4,10764.0,SW,2950000.0
maidenhead,4,1403.0,N,200000.0
maidenhead,4,1511.0,CR,475000.0
maidenhead,4,2887.0,AL,480000.0
maidenhead,4,1400.0,GU,495000.0
maidenhead,4,1347.0,CR,800000.0
maidenhead,4,1080.0,GU,400000.0
maidenhead,4,5288.0,CR,1425000.0
maidenhead,4,2152.0,SE,770000.0
maidenhead,4,1333.0,EN,475000.0
maidenhead,4,2024.0,EN,725000.0
maidenhead,4,1846.0,CR,750000.0
maidenhead,4,1572.0,LU,525000.0
maidenhead,4,1441.0,EN,200000.0
maidenhead,4,1491.0,SE,390000.0
maidenhead,4,3071.0,GU,875000.0
maidenhead,4,1760.0,GU,495000.0
bristol,4,1733.0,BS,400000.0
bristol,4,2420.0,BS,300000.0
bristol,4,3617.0,BA,550000.0
bristol,4,1337.0,BA,795000.0
bristol,4,3041.0,NP,180000.0
bristol,4,7395.0,BS,1010000.0
bristol,4,1594.0,CF,325000.0
bristol,4,2223.0,CF,350000.0
swindon,4,3190.0,SN,575000.0
swindon,4,2004.0,SN,1000000.0
swindon,4,4185.0,SN,625000.0
swindon,4,1452.0,OX,200000.0
swindon,4,1337.0,BA,795000.0
swindon,4,3617.0,BA,550000.0
reading,5,215714.0,HP,4500000.0
reading,5,2729.0,GU,395000.0
reading,5,13285.0,UB,2200000.0
slough,5,13285.0,UB,2200000.0
slough,5,215714.0,HP,4500000.0
slough,5,2182.0,SW,1400000.0
